"Name","Email","City","Keyword"
"Dallas Cinema","info@dallasfox.net","dallas","movies"
"Texas Theatre","info@aviationcinemas.com","dallas","movies"
"SCC Dekwaneh","scc3dekwaneh@gmail.com","dallas","movies"
"Chichi African Hair Braiding/Movies","talk2glad2001@yahoo.com","dallas","movies"
"WFAA Studios @ Victory Park","feedback@wfaa.com","dallas","movies"
"Studio Movie Grill","royalinfo@studiomoviegrill.com","dallas","movies"
"Groove Jones","whois@groovejones.com","dallas","movies"
"Lucky Dog Books - Casa Linda","info@luckydogbooks.com","dallas","movies"
"Brazen Animation","inquire@brazenanimation.com","dallas","movies"
"UptownLatino.net","info@uptownlatino.net","dallas","movies"
"Greek Food Festival of Dallas","greekfoodfestivalofdallas@gmail.com","dallas","food"
"Dallas Wings Food & Bar","juankajc@hotmail.com","dallas","food"
"Dallas Food Porn","weknowbest@dallasfoodporn.com","dallas","food"
"Dallas Center Food Pantry","dcfoodpantry@outlook.com","dallas","food"
"Ann's Health Food Center - Dallas","annsdallas@yahoo.com","dallas","food"
"Food Tours of America - Dallas","dallas@foodtoursofamerica.com","dallas","food"
"Dallas by Chocolate Food Tours","dallasbychocolate@gmail.com","dallas","food"
"Dallas Alimentos","sac@grupodallas.com.br","dallas","food"
"Dallas Food Truck Pros","tenielle@dallasfoodtruckpros.com","dallas","food"
"DaLat (at 2537 Fitzhugh) -  Late Night Vietnamese Comfort Food","neokhanh@gmail.com","dallas","food"
"DallasChocolate.org","info@dallaschocolate.org","dallas","food"
"Dallas Bites Food Tours","dallasbychocolate@gmail.com","dallas","food"
"Dallas Caramel Company","info@dallascaramelcompany.com","dallas","food"
"Goji Cafe - Healthy Asian Food","contact@goji-cafe.com","dallas","food"
"Chopp Dalla","falecom@dallacervejaria.com.br","dallas","food"
"Dalla Natura","dallanatura@odorizzi.org","dallas","food"
"Venezuelan FOOD to GO Dallas Texas","venezuelaentexas@yahoo.com","dallas","food"
"FoodFriendz.com","info@foodfriendz.com","dallas","food"
"Dallas Food Photographer - Theresa Fernandez Photography","info@theresafernandezphoto.com","dallas","food"
"FARE Walk for Food Allergy in Dallas, TX","farewalk@foodallergy.org, walkdallas@foodallergy.org, mnjernigan@sbcglobal.net","dallas","food"
"Dallas Craft Co.","crafttalk@dallascraftco.com","dallas","food"
"Dallas Craft Co.","crafttalk@dallascraftco.com","dallas","food"
"Daisy Cakes","mdowdy@daisycakesdallas.com","dallas","food"
"Dallas Craft Co.","crafttalk@dallascraftco.com","dallas","food"
"Real Meals","christopher_west@ymail.com","dallas","food"
"Pakpao Thai Food","pakpao@argconcepts.com","dallas","food"
"Dallas Cakes","dallas32@lawle.com","dallas","food"
"RESTAURANT MONTERREY  ""MEXICAN FOOD""","munizm68@yahoo.com","dallas","food"
"North Texas Food Bank","info@ntfb.org","dallas","food"
"Dallas Pizza Gourmet Delivery","dallaspizzavr@gmail.com","dallas","food"
"Be Raw Food + Juice","jessica@berawfoodandjuice.com","dallas","food"
"CRÚ Food & Wine Bar - West Village","westvillage@cruawinebar.com","dallas","food"
"U.S. Food Trucks","vricano@usfoodtrucks.com","dallas","food"
