"Name","Email","City","Keyword"
"Fair Food Philadelphia","info@fairfoodphilly.org","Philadelphia","food"
"TASTE Philadelphia Festival of Food, Wine & Spirits","info@gourmetshows.com","Philadelphia","food"
"Greater Dover-New Philadelphia Food Pantry","dnpantry@roadrunner.com","Philadelphia","food"
"The Children's Hospital of Philadelphia Food Allergy Research","foodallergyresearch@email.chop.edu","Philadelphia","food"
"Philadelphia Food Policy Advisory Council","fpac@phila.gov","Philadelphia","food"
"Philadelphia Deutschland","verbraucherservice@mdlz.com","Philadelphia","food"
"Philadelphia Jerk Festival","d.grant@philadelphiajerkfest.com","Philadelphia","food"
"Philadelphia Cheesecake Company","adschellhorn@yahoo.com","Philadelphia","food"
"Restaurants & Food - Philadelphia Inquirer","section editor: mfitzgerald@phillynews.com, fb page editor: swood@phillynews.com","Philadelphia","food"
"Philadelphia Bulgaria","office@freshdirect.bg","Philadelphia","food"
"Drexel University - Culinary Arts & Food Science and Hospitality Management","cfhm@drexel.edu","Philadelphia","food"
"Food Adventures: Philadelphia","foodventuresgroup@gmail.com","Philadelphia","food"
"Rumor","info@rumorphilly.com","Philadelphia","food"
"Escape the Room Philly","info@escapetheroomphilly.com","Philadelphia","food"
"Queso Philadelphia México","mondelezmx.enlinea@mdlz.com","Philadelphia","food"
"Chinatown Square","chinatownsquarephilly@gmail.com","Philadelphia","food"
"Vernick Food & Drink","info@vernickphilly.com","Philadelphia","food"
"The Food Trust","contact@thefoodtrust.org","Philadelphia","food"
"Food & Water Watch - Pennsylvania","sbernhardt@fwwatch.org","Philadelphia","food"
"Tate's Good Food","lisaballentine63@yahoo.com","Philadelphia","food"
"Mym's Restaurant Caribbean & Soul Food","mymsrestaurant6725@gmail.com","Philadelphia","food"
"First Luv Soul Food","firstluvsoulfood@gmail.com","Philadelphia","food"
"Jerry's Kitchen Food Truck","scott@jerrys-kitchen.com","Philadelphia","food"
"Real Food Eatery","info@realfoodeatery.com","Philadelphia","food"
